TARGET_PROFIT,GAP_DISTANCE,total_pnl,n_trades,win_rate,avg_pnl_per_trade,sharpe_trade,mdd,total_positions,agents_max
0.005,0.005,84780.75841796413,3,1.0,32669.960823988036,0.6341187971889961,-293366.9550480354,528,1
0.01,0.005,203367.78348596292,3,1.0,72198.96917998765,0.629474138462432,-364728.0,528,1
0.02,0.005,-1261775.0807860012,1,1.0,23144.886595999953,0.0,-1845563.760000001,527,1
0.03,0.005,-1615853.6163800114,0,0.0,0.0,0.0,-2117783.9165060106,501,1
0.005,0.01,0.0,0,0.0,0.0,0.0,0.0,0,0
0.01,0.01,0.0,0,0.0,0.0,0.0,0.0,0,0
0.02,0.01,0.0,0,0.0,0.0,0.0,0.0,0,0
0.03,0.01,0.0,0,0.0,0.0,0.0,0.0,0,0
0.005,0.02,0.0,0,0.0,0.0,0.0,0.0,0,0
0.01,0.02,0.0,0,0.0,0.0,0.0,0.0,0,0
0.02,0.02,0.0,0,0.0,0.0,0.0,0.0,0,0
0.03,0.02,0.0,0,0.0,0.0,0.0,0.0,0,0
0.005,0.03,0.0,0,0.0,0.0,0.0,0.0,0,0
0.01,0.03,0.0,0,0.0,0.0,0.0,0.0,0,0
0.02,0.03,0.0,0,0.0,0.0,0.0,0.0,0,0
0.03,0.03,0.0,0,0.0,0.0,0.0,0.0,0,0
